Institution Name,State/Territory,Land Grant Type,Residential,Four-Year Undergrad,Engineering Program,Honors Program
Auburn University,Alabama,1862,Y,Y,Y,Y
University of Alaska Fairbanks,Alaska,1862,Y,Y,Y,Y
University of Arizona,Arizona,1862,Y,Y,Y,Y
University of Arkansas,Arkansas,1862,Y,Y,Y,Y
University of California (Berkeley/Davis/Riverside designated),California,1862,Y,Y,Y,Y
Colorado State University,Colorado,1862,Y,Y,Y,Y
University of Connecticut,Connecticut,1862,Y,Y,Y,Y
University of Delaware,Delaware,1862,Y,Y,Y,Y
University of the District of Columbia,District of Columbia,1862,V,Y,Y,Y
University of Florida,Florida,1862,Y,Y,Y,Y
University of Georgia,Georgia,1862,Y,Y,Y,Y
University of Guam,Guam,1862,Y,Y,P,V
University of Hawaii at Manoa,Hawaii,1862,Y,Y,Y,Y
University of Idaho,Idaho,1862,Y,Y,Y,Y
University of Illinois Urbana-Champaign,Illinois,1862,Y,Y,Y,Y
Purdue University,Indiana,1862,Y,Y,Y,Y
Iowa State University,Iowa,1862,Y,Y,Y,Y
Kansas State University,Kansas,1862,Y,Y,Y,Y
University of Kentucky,Kentucky,1862,Y,Y,Y,Y
Louisiana State University,Louisiana,1862,Y,Y,Y,Y
University of Maine,Maine,1862,Y,Y,Y,Y
University of Maryland College Park,Maryland,1862,Y,Y,Y,Y
University of Massachusetts Amherst,Massachusetts,1862,Y,Y,Y,Y
Massachusetts Institute of Technology,Massachusetts,1862 (Private),Y,Y,Y,N
Michigan State University,Michigan,1862,Y,Y,Y,Y
University of Minnesota,Minnesota,1862,Y,Y,Y,Y
Mississippi State University,Mississippi,1862,Y,Y,Y,Y
University of Missouri,Missouri,1862,Y,Y,Y,Y
Montana State University,Montana,1862,Y,Y,Y,Y
University of Nebraska-Lincoln,Nebraska,1862,Y,Y,Y,Y
University of Nevada, Reno,Nevada,1862,Y,Y,Y,Y
University of New Hampshire,New Hampshire,1862,Y,Y,Y,Y
Rutgers University,New Jersey,1862,Y,Y,Y,Y
New Mexico State University,New Mexico,1862,Y,Y,Y,Y
Cornell University,New York,1862 (Private),Y,Y,Y,N
North Carolina State University,North Carolina,1862,Y,Y,Y,Y
North Dakota State University,North Dakota,1862,Y,Y,Y,Y
The Ohio State University,Ohio,1862,Y,Y,Y,Y
Oklahoma State University,Oklahoma,1862,Y,Y,Y,Y
Oregon State University,Oregon,1862,Y,Y,Y,Y
The Pennsylvania State University,Pennsylvania,1862,Y,Y,Y,Y
University of Puerto Rico, Mayagüez,Puerto Rico,1862,Y,Y,Y,V
University of Rhode Island,Rhode Island,1862,Y,Y,Y,Y
Clemson University,South Carolina,1862,Y,Y,Y,Y
South Dakota State University,South Dakota,1862,Y,Y,Y,Y
University of Tennessee, Knoxville,Tennessee,1862,Y,Y,Y,Y
Texas A&M University,Texas,1862,Y,Y,Y,Y
Utah State University,Utah,1862,Y,Y,Y,Y
University of Vermont,Vermont,1862,Y,Y,Y,Y
University of the Virgin Islands,Virgin Islands,1862,Y,Y,P,V
Virginia Polytechnic Institute and State University (Virginia Tech),Virginia,1862,Y,Y,Y,Y
Washington State University,Washington,1862,Y,Y,Y,Y
West Virginia University,West Virginia,1862,Y,Y,Y,Y
University of Wisconsin–Madison,Wisconsin,1862,Y,Y,Y,Y
University of Wyoming,Wyoming,1862,Y,Y,Y,Y
Alabama A&M University,Alabama,1890,Y,Y,Y,Y
Tuskegee University,Alabama,1890 (Private),Y,Y,Y,Y
University of Arkansas at Pine Bluff,Arkansas,1890,Y,Y,N,Y
Delaware State University,Delaware,1890,Y,Y,N,Y
Florida A&M University,Florida,1890,Y,Y,Y,Y
Fort Valley State University,Georgia,1890,Y,Y,N,Y
Kentucky State University,Kentucky,1890,Y,Y,N,Y
Southern University and A&M College,Louisiana,1890,Y,Y,Y,Y
University of Maryland Eastern Shore,Maryland,1890,Y,Y,Y,Y
Alcorn State University,Mississippi,1890,Y,Y,N,Y
Lincoln University,Missouri,1890,Y,Y,N,Y
North Carolina A&T State University,North Carolina,1890,Y,Y,Y,Y
Central State University,Ohio,1890,Y,Y,Y,Y
Langston University,Oklahoma,1890,Y,Y,N,Y
South Carolina State University,South Carolina,1890,Y,Y,Y,Y
Tennessee State University,Tennessee,1890,Y,Y,Y,Y
Prairie View A&M University,Texas,1890,Y,Y,Y,Y
Virginia State University,Virginia,1890,Y,Y,N,Y
West Virginia State University,West Virginia,1890,Y,Y,N,Y
Ilisagvik College,Alaska,1994,Y,N,N,N
Diné College,Arizona,1994,Y,Y,N,N
Tohono O'odham Community College,Arizona,1994,V,N,N,N
Haskell Indian Nations University,Kansas,1994,Y,Y,N,N
Bay Mills Community College,Michigan,1994,V,N,N,N
Keweenaw Bay Ojibwa Community College,Michigan,1994,V,N,N,N
Saginaw Chippewa Tribal College,Michigan,1994,V,N,N,N
Fond du Lac Tribal & Community College,Minnesota,1994,Y,N,N,N
Leech Lake Tribal College,Minnesota,1994,V,N,N,N
Red Lake Nation College,Minnesota,1994,V,N,N,N
White Earth Tribal and Community College,Minnesota,1994,V,N,N,N
Aaniiih Nakoda College,Montana,1994,V,N,N,N
Blackfeet Community College,Montana,1994,V,N,N,N
Chief Dull Knife College,Montana,1994,V,N,N,N
Fort Peck Community College,Montana,1994,V,N,N,N
Little Big Horn College,Montana,1994,Y,N,N,N
Salish Kootenai College,Montana,1994,Y,Y,P,N
Stone Child College,Montana,1994,V,N,N,N
Little Priest Tribal College,Nebraska,1994,V,N,N,N
Nebraska Indian Community College,Nebraska,1994,V,N,N,N
Institute of American Indian Arts,New Mexico,1994,Y,Y,N,N
Navajo Technical University,New Mexico,1994,Y,Y,Y,N
Southwestern Indian Polytechnic Institute,New Mexico,1994,Y,N,P,N
Cankdeska Cikana Community College,North Dakota,1994,V,N,N,N
Nueta Hidatsa Sahnish College,North Dakota,1994,Y,Y,N,N
Sitting Bull College,North Dakota,1994,Y,Y,N,N
Turtle Mountain Community College,North Dakota,1994,Y,Y,N,N
United Tribes Technical College,North Dakota,1994,Y,N,N,N
College of the Muscogee Nation,Oklahoma,1994,V,N,N,N
Oglala Lakota College,South Dakota,1994,Y,Y,N,N
Sinte Gleska University,South Dakota,1994,Y,Y,N,N
Sisseton Wahpeton College,South Dakota,1994,Y,N,N,N
