1980,,,2016,,
Population,"226,540,000",,Population,"323,120,000",
Deaths,,,Deaths,,
All causes,"1,989,841",,All causes,"2,744,248",
Diseases of heart,"761,085",,Diseases of heart,"635,260",
Malignant neoplasms,"416,509",,Malignant neoplasms,"598,038",
Cerebrovascular diseases,"170,225",,Unintentional injuries,"161,374",
Unintentional injuries,"105,718",,Chronic lower respiratory diseases,"154,596",
Chronic obstructive pulmonary disease,"56,050",,Cerebrovascular diseases,"142,142",
Pneumonia and influenza,"54,619",,Alzheimer's disease,"116,103",
Diabetes mellitus,"34,851",,Diabetes mellitus,"80,058",
Chronic liver disease and cirrhosis,"30,583",,Influenza and pneumonia,"51,537",
Atherosclerosis,"29,449",,"Nephritis, nephrotic syndrome and nephrosis","50,046",
Suicide,"26,869",,Suicide,"44,965",
,,,,,
Ages 15 - 24,,,Ages 15 - 24,,
Population,"42,475,000",,Population,"43,500,000",
Deaths,,,Deaths,,
All causes,"49,027",,All causes,"32,575",
Unintentional injuries,"26,206",,Unintentional injuries,"13,895",
Homicide,"6,537",,Suicide,"5,723",
Suicide,"5,239",,Homicide,"5,172",
Malignant neoplasms,"2,683",,Malignant neoplasms,"1,431",
Diseases of heart,"1,223",,Diseases of heart,949,
Congenital anomalies,600,,Congenital malformations/abnormalities,388,
Cerebrovascular diseases,418,,Diabetes mellitus,211,
Pneumonia and influenza,348,,Chronic lower respiratory disease,206,
Chronic obstructive pulmonary disease,141,,Influenza and pneumonia,189,
Anemias,133,,Complicated Pregnancy,184,
,,,,,
,,,,,
,,,, , 
Ages 25 - 44,,,Ages 25 - 44, , 
Population,"62,707,000",,Population,"85,150,000", 
Deaths,,,Deaths,,
All causes,"108,658",,All causes,"135,408",
Unintentional injuries,"26,722",,Unintentional injuries,"44,959",
Malignant neoplasms,"17,551",,Malignant neoplasms,"14,694",
Diseases of heart,"14,513",,Suicide,"14,396",
Homicide,"10,963",,Diseases of heart,"13,922",
Suicide,"9,855",,Homicide,"8,745",
Chronic liver disease and cirrhosis,"4,782",,Chronic liver disease and cirrhosis,"3,776",
Cerebrovascular diseases,"3,154",,Diabetes mellitus,"2,841",
Diabetes mellitus,"1,472",,Cerebrovascular diseases,"2,426",
Pneumonia and influenza,"1,467",,HIV disease,"1,517",
Congenital anomalies,817,,Septicemia,"1,316",
,,,,,
,,,, , 
Ages 45 - 64,,,Ages 45 - 64, , 
Population,"44,497,000",,Population,"84,300,000", 
Deaths,,,Deaths,,
All causes,"425,338",,All causes,"539,961",
Diseases of heart,"148,322",,Malignant neoplasms,"157,655",
Malignant neoplasms,"135,675",,Diseases of heart,"112,637",
Cerebrovascular diseases,"19,909",,Unintentional injuries,"45,237",
Unintentional injuries,"18,140",,Chronic liver disease and cirrhosis,"21,812",
Chronic liver disease and cirrhosis,"16,089",,Chronic lower respiratory diseases,"22,117",
Chronic obstructive pulmonary disease,"11,514",,Diabetes mellitus,"20,518",
Diabetes mellitus,"7,977",,Cerebrovascular diseases,"17,663",
Suicide,"7,079",,Suicide,"16,196",
Pneumonia and influenza,"5,804",,Septicemia,"8,413",
Homicide,"4,019",,"Nephritis, nephrotic syndrome and nephrosis","7,790",
