source_slide,disposition,session,output,block,block_title,rationale
1,mapped,unit2b,Math130Unit2B.html,unit2b-title,Logarithmic Functions,
2,mapped,unit2b,Math130Unit2B.html,unit2b-roadmap,Today’s Learning Roadmap,
3,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-forms-explain,convert between logarithmic and exponential forms,
4,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-forms-explain,convert between logarithmic and exponential forms,
5,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-forms-model,Model the Skill: convert between logarithmic and exponential forms,
6,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-forms-practice,You Try: convert between logarithmic and exponential forms,
7,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-forms-feedback,Check and Diagnose: convert between logarithmic and exponential forms,
8,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-forms-synthesize,Make It Stick: convert between logarithmic and exponential forms,
9,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-evaluate-explain,evaluate and simplify logarithmic expressions,
10,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-evaluate-explain,evaluate and simplify logarithmic expressions,
11,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-evaluate-model,Model the Skill: evaluate and simplify logarithmic expressions,
12,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-evaluate-practice,You Try: evaluate and simplify logarithmic expressions,
13,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-evaluate-practice,You Try: evaluate and simplify logarithmic expressions,
14,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-evaluate-feedback,Check and Diagnose: evaluate and simplify logarithmic expressions,
15,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-evaluate-synthesize,Make It Stick: evaluate and simplify logarithmic expressions,
16,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-graphs-explain,graph logarithmic functions and determine their domains,
17,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-graphs-model,Model the Skill: graph logarithmic functions and determine their domains,
18,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-graphs-practice,You Try: graph logarithmic functions and determine their domains,
19,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-graphs-feedback,Check and Diagnose: graph logarithmic functions and determine their domains,
20,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-graphs-synthesize,Make It Stick: graph logarithmic functions and determine their domains,
21,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-solve-explain,solve logarithmic and exponential equations using inverse properties,
22,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-solve-explain,solve logarithmic and exponential equations using inverse properties,
23,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-solve-model,Model the Skill: solve logarithmic and exponential equations using inverse properties,
24,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-solve-model,Model the Skill: solve logarithmic and exponential equations using inverse properties,
25,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-solve-practice,You Try: solve logarithmic and exponential equations using inverse properties,
26,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-solve-feedback,Check and Diagnose: solve logarithmic and exponential equations using inverse properties,
27,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-solve-feedback,Check and Diagnose: solve logarithmic and exponential equations using inverse properties,
28,mapped,unit2b,Math130Unit2B.html,math130unit2b-u2b-solve-synthesize,Make It Stick: solve logarithmic and exponential equations using inverse properties,
29,mapped,unit2b,Math130Unit2B.html,unit2b-closing,Session Summary and Exit Ticket,
30,mapped,unit2b,Math130Unit2B.html,unit2b-closing,Session Summary and Exit Ticket,
31,mapped,unit2b,Math130Unit2B.html,unit2b-closing,Session Summary and Exit Ticket,
