source_slide,disposition,session,output,block,block_title,rationale
1,mapped,unit2d-part1,Math130Unit2D-part1.html,unit2d-part1-title,Area and Circle Geometry,
2,mapped,unit2d-part1,Math130Unit2D-part1.html,unit2d-part1-roadmap,Today’s Learning Roadmap,
3,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-area-explain,decompose figures and compute area accurately,
4,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-area-model,Model the Skill: decompose figures and compute area accurately,
5,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-area-feedback,Check and Diagnose: decompose figures and compute area accurately,
6,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-circle-explain,use circle terminology and circumference-area formulas,
7,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-circle-model,Model the Skill: use circle terminology and circumference-area formulas,
8,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-circle-practice,You Try: use circle terminology and circumference-area formulas,
9,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-circle-feedback,Check and Diagnose: use circle terminology and circumference-area formulas,
10,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-theorems-explain,"apply inscribed-angle, chord, and arc theorems",
11,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-theorems-model,"Model the Skill: apply inscribed-angle, chord, and arc theorems",
12,mapped,unit2d-part1,Math130Unit2D-part1.html,math130unit2d-u2d-theorems-feedback,"Check and Diagnose: apply inscribed-angle, chord, and arc theorems",
13,mapped,unit2d-part2,Math130Unit2D-part2.html,unit2d-part2-title,"Radians, Velocity, and Solid Geometry",
14,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-radians-explain,convert angle measures and compute arc length and sector area,
15,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-radians-explain,convert angle measures and compute arc length and sector area,
16,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-radians-model,Model the Skill: convert angle measures and compute arc length and sector area,
17,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-radians-model,Model the Skill: convert angle measures and compute arc length and sector area,
18,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-radians-practice,You Try: convert angle measures and compute arc length and sector area,
19,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-radians-feedback,Check and Diagnose: convert angle measures and compute arc length and sector area,
20,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-radians-feedback,Check and Diagnose: convert angle measures and compute arc length and sector area,
21,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-radians-synthesize,Make It Stick: convert angle measures and compute arc length and sector area,
22,mapped,unit2d-part2,Math130Unit2D-part2.html,unit2d-part2-title,"Radians, Velocity, and Solid Geometry",
23,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-velocity-explain,"relate angular velocity, linear velocity, and distance",
24,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-velocity-model,"Model the Skill: relate angular velocity, linear velocity, and distance",
25,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-velocity-feedback,"Check and Diagnose: relate angular velocity, linear velocity, and distance",
26,mapped,unit2d-part2,Math130Unit2D-part2.html,unit2d-part2-title,"Radians, Velocity, and Solid Geometry",
27,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-solids-explain,select volume and surface-area formulas for solids,
28,mapped,unit2d-part2,Math130Unit2D-part2.html,math130unit2d-u2d-solids-practice,You Try: select volume and surface-area formulas for solids,
29,mapped,unit2d-part2,Math130Unit2D-part2.html,unit2d-part2-closing,Session Summary and Exit Ticket,
30,mapped,unit2d-part2,Math130Unit2D-part2.html,unit2d-part2-closing,Session Summary and Exit Ticket,
