source_slide,disposition,session,output,block,block_title,rationale
1,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-roadmap,Today’s Learning Roadmap,
2,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-standard-explain,sketch angles in standard position,
3,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-standard-model,Model the Skill: sketch angles in standard position,
4,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-standard-practice,You Try: sketch angles in standard position,
5,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-standard-feedback,Check and Diagnose: sketch angles in standard position,
6,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-coterminal-explain,find coterminal and reference angles in degrees and radians,
7,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-coterminal-model,Model the Skill: find coterminal and reference angles in degrees and radians,
8,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-coterminal-feedback,Check and Diagnose: find coterminal and reference angles in degrees and radians,
9,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-arc-explain,use radians to compute arc length,
10,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-arc-practice,You Try: use radians to compute arc length,
11,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-ratios-explain,use right-triangle trigonometric ratios,
12,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-ratios-explain,use right-triangle trigonometric ratios,
13,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-ratios-model,Model the Skill: use right-triangle trigonometric ratios,
14,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-ratios-model,Model the Skill: use right-triangle trigonometric ratios,
15,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-ratios-practice,You Try: use right-triangle trigonometric ratios,
16,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-ratios-feedback,Check and Diagnose: use right-triangle trigonometric ratios,
17,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-ratios-feedback,Check and Diagnose: use right-triangle trigonometric ratios,
18,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-ratios-synthesize,Make It Stick: use right-triangle trigonometric ratios,
19,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-applications-explain,solve special-triangle and right-triangle applications,
20,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-applications-explain,solve special-triangle and right-triangle applications,
21,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-applications-model,Model the Skill: solve special-triangle and right-triangle applications,
22,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-applications-practice,You Try: solve special-triangle and right-triangle applications,
23,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-applications-practice,You Try: solve special-triangle and right-triangle applications,
24,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-applications-feedback,Check and Diagnose: solve special-triangle and right-triangle applications,
25,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-u3a-applications-synthesize,Make It Stick: solve special-triangle and right-triangle applications,
26,mapped,math130unit3a,Math130Unit3A.html,math130unit3a-closing,Session Summary and Exit Ticket,
