source_slide,disposition,session,output,block,block_title,rationale
1,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-roadmap,Today’s Learning Roadmap,
2,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-model-explain,model one-triangle applications with SOH-CAH-TOA,
3,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-model-explain,model one-triangle applications with SOH-CAH-TOA,
4,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-model-model,Model the Skill: model one-triangle applications with SOH-CAH-TOA,
5,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-model-practice,You Try: model one-triangle applications with SOH-CAH-TOA,
6,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-model-feedback,Check and Diagnose: model one-triangle applications with SOH-CAH-TOA,
7,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-model-synthesize,Make It Stick: model one-triangle applications with SOH-CAH-TOA,
8,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-motion-explain,"apply elevation, depression, and motion components",
9,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-motion-model,"Model the Skill: apply elevation, depression, and motion components",
10,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-motion-practice,"You Try: apply elevation, depression, and motion components",
11,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-motion-feedback,"Check and Diagnose: apply elevation, depression, and motion components",
12,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-two-explain,solve complete and two-triangle application problems,
13,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-two-explain,solve complete and two-triangle application problems,
14,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-two-model,Model the Skill: solve complete and two-triangle application problems,
15,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-two-practice,You Try: solve complete and two-triangle application problems,
16,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-two-practice,You Try: solve complete and two-triangle application problems,
17,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-two-feedback,Check and Diagnose: solve complete and two-triangle application problems,
18,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-u3c-two-synthesize,Make It Stick: solve complete and two-triangle application problems,
19,mapped,math130unit3c,Math130Unit3C.html,math130unit3c-closing,Session Summary and Exit Ticket,
