source_slide,disposition,session,output,block,block_title,rationale
1,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-roadmap,Today’s Learning Roadmap,
2,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-angles-explain,"solve angle, reference-angle, and exact-value problems",
3,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-angles-explain,"solve angle, reference-angle, and exact-value problems",
4,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-angles-model,"Model the Skill: solve angle, reference-angle, and exact-value problems",
5,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-angles-practice,"You Try: solve angle, reference-angle, and exact-value problems",
6,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-angles-practice,"You Try: solve angle, reference-angle, and exact-value problems",
7,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-angles-feedback,"Check and Diagnose: solve angle, reference-angle, and exact-value problems",
8,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-angles-synthesize,"Make It Stick: solve angle, reference-angle, and exact-value problems",
9,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-triangles-explain,"solve right-triangle, area, and two-triangle applications",
10,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-triangles-model,"Model the Skill: solve right-triangle, area, and two-triangle applications",
11,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-triangles-feedback,"Check and Diagnose: solve right-triangle, area, and two-triangle applications",
12,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-u3e-vectors-explain,perform vector operations and direction calculations,
13,mapped,math130unit3e,Math130Unit3E.html,math130unit3e-closing,Session Summary and Exit Ticket,
