deck,session,output,content_complete,computational_math_audit,math_verified,visual_qa,offline_qa,classroom_rehearsal,approved,notes
Math130Unit2A,unit2a,Math130Unit2A.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit2B,unit2b,Math130Unit2B.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit2C,unit2c-part1,Math130Unit2C-part1.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit2C,unit2c-part2,Math130Unit2C-part2.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit2D,unit2d-part1,Math130Unit2D-part1.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit2D,unit2d-part2,Math130Unit2D-part2.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit2E,math130unit2e,Math130Unit2E.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit3A,math130unit3a,Math130Unit3A.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit3B,math130unit3b,Math130Unit3B.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit3C,math130unit3c,Math130Unit3C.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit3D,math130unit3d,Math130Unit3D.html,no,yes,no,no,no,no,no,Pending instructor sign-off
Math130Unit3E,math130unit3e,Math130Unit3E.html,no,yes,no,no,no,no,no,Pending instructor sign-off
